测试用例ID,测试模块,测试场景,前置条件,测试步骤,预期结果,优先级,备注
TC001,作品创建,AI生成并保存作品,用户已登录小程序,1. 进入"AI创作"页面（tab-aitoy）<br>2. 点击"生成作品"或"上传作品"按钮<br>3. 完成作品上传/生成<br>4. 保存作品,作品保存成功，状态为"未获价"（PENDING），出现在"我的作品"列表中,高,验证作品创建的基本流程
TC002,作品创建,上传作品-正面图,用户已登录小程序,1. 进入"我的作品"页面<br>2. 点击"上传我的作品"按钮<br>3. 选择图片上传正面图<br>4. 保存,作品创建成功，正面图显示正常,高,验证图片上传功能
TC003,作品创建,上传作品-多角度图,用户已登录小程序,1. 进入"上传作品"页面<br>2. 依次上传正面、背面、侧面1、侧面2图片<br>3. 保存,作品创建成功，所有角度的图片都能正常显示,中,验证多角度图片上传
TC004,作品报价,请求获取报价-待报价状态,用户已登录，有状态为PENDING的作品,1. 进入"我的作品"页面<br>2. 找到状态为"待报价"的作品<br>3. 点击"获取报价"按钮<br>4. 确认操作,作品状态变为"报价中"（QUOTING），显示"报价中"标签,高,验证报价请求流程
TC005,作品报价,请求获取报价-已报价状态,用户已登录，有状态为QUOTED的作品,1. 进入"我的作品"页面<br>2. 找到状态为"已报价"的作品<br>3. 查看是否有"获取报价"按钮,已报价的作品不应显示"获取报价"按钮,中,验证状态限制
TC006,作品报价,后台填写价格-报价中状态,后台管理员，有状态为QUOTING的作品,1. 后台登录<br>2. 找到报价中的作品<br>3. 填写打样价格和阶梯价格<br>4. 保存,作品状态变为"已报价"（QUOTED），前端显示价格信息,高,需要后台操作，前端验证状态变化
TC007,作品报价,查看报价信息,用户已登录，有已报价的作品,1. 进入"我的作品"页面<br>2. 找到"已报价"状态的作品<br>3. 查看价格信息,显示打样价格和阶梯价格列表（如：100件起、500件起等）,高,验证报价信息展示
TC008,作品报价,设置作品名称-待报价,用户已登录，有未设置名称的作品,1. 进入"我的作品"页面<br>2. 找到待报价的作品<br>3. 点击"设置作品名称"<br>4. 输入名称并确认,作品名称设置成功，列表中显示新名称,中,验证作品名称设置
TC009,作品报价,修改作品名称-报价中,用户已登录，有报价中的作品,1. 进入"我的作品"页面<br>2. 找到报价中的作品<br>3. 点击"修改作品名称"<br>4. 修改名称并确认,作品名称修改成功,中,验证名称修改功能
TC010,打榜申请,申请打榜投票-未获价作品,用户已登录，有PENDING状态的作品,1. 进入"我的作品"页面<br>2. 找到未获价的作品<br>3. 点击"申请打榜投票"按钮<br>4. 选择打榜期<br>5. 填写参与宣言（可选）<br>6. 上传拉票视频（可选）<br>7. 提交申请,申请提交成功，状态为APPLIED，出现在"打榜管理"列表中,高,验证打榜申请流程
TC011,打榜申请,申请打榜投票-已获价作品,用户已登录，有QUOTED状态的作品,1. 进入"我的作品"页面<br>2. 找到已获价的作品<br>3. 点击"申请打榜投票"按钮<br>4. 选择打榜期并提交,申请提交成功，状态为APPLIED,高,验证已获价作品可申请打榜
TC012,打榜申请,申请打榜投票-重复申请,用户已登录，作品已申请过当前期,1. 进入"我的作品"页面<br>2. 找到已申请过打榜的作品<br>3. 再次点击"申请打榜投票"<br>4. 选择同一期提交,提示"该作品本期已报名，不可重复申请",中,验证防重复申请
TC013,打榜申请,申请打榜投票-期未启用,用户已登录，有作品,1. 进入"我的作品"页面<br>2. 点击"申请打榜投票"<br>3. 选择状态为DRAFT或DISABLED的期,提示"当前打榜期未启用，无法报名",中,验证期状态校验
TC014,打榜申请,申请打榜投票-期时间范围外,用户已登录，有作品,1. 进入"我的作品"页面<br>2. 点击"申请打榜投票"<br>3. 选择已结束或未开始的期,提示"当前不在该打榜期的有效时间内",中,验证时间范围校验
TC015,打榜审核,后台审核通过,后台管理员，有APPLIED状态的申请,1. 后台登录<br>2. 进入打榜申请列表<br>3. 找到待审核的申请<br>4. 点击"审核通过"<br>5. 填写备注（可选）<br>6. 确认,申请状态变为APPROVED，作品出现在"投票榜单"中，用户可以投票,高,需要后台操作
TC016,打榜审核,后台审核驳回,后台管理员，有APPLIED状态的申请,1. 后台登录<br>2. 进入打榜申请列表<br>3. 找到待审核的申请<br>4. 点击"审核驳回"<br>5. 填写驳回原因<br>6. 确认,申请状态变为REJECTED，作品不出现在投票榜单中,高,需要后台操作
TC017,打榜投票,查看投票榜单,用户已登录,1. 进入"打榜投票"页面（tab-rank）<br>2. 查看榜单列表,显示当前进行中的打榜期，列出所有已审核通过的作品，显示票数,高,验证投票榜单展示
TC018,打榜投票,给作品投票-首次投票,用户已登录，有进行中的打榜期,1. 进入"打榜投票"页面<br>2. 找到要投票的作品<br>3. 点击"投票"按钮<br>4. 确认,投票成功，作品票数+1，按钮变为不可点击状态（当天）,高,验证投票功能
TC019,打榜投票,给作品投票-重复投票,用户已登录，当天已投过票,1. 进入"打榜投票"页面<br>2. 找到已投过票的作品<br>3. 再次点击"投票"按钮,提示"今天已为该作品投过票了",中,验证每日限票
TC020,打榜投票,给作品投票-已结束期,用户已登录，期已结束,1. 进入"打榜投票"页面<br>2. 选择已结束的期<br>3. 尝试投票,显示"已结束"状态，不能投票,中,验证期状态限制
TC021,打榜投票,给已驳回作品投票,用户已登录，有REJECTED状态的作品,1. 后台将作品状态改为REJECTED<br>2. 前端尝试投票,提示"已驳回的作品不可投票",低,需要后台配合
TC022,打榜管理,查看我的打榜作品,用户已登录，有打榜申请记录,1. 进入"我的"页面<br>2. 点击"打榜管理"<br>3. 查看列表,显示所有打榜期的列表，包括进行中、未开始、已结束的状态,高,验证打榜管理页面
TC023,打榜管理,查看打榜详情-有作品,用户已登录，有已申请的打榜作品,1. 进入"打榜管理"页面<br>2. 点击有作品的期卡片,跳转到H5详情页，显示作品信息、票数、宣言、视频等,高,验证详情展示
TC024,打榜管理,查看打榜详情-无作品,用户已登录，期进行中但未申请,1. 进入"打榜管理"页面<br>2. 点击没有作品的期卡片,提示"请到我的作品中发布打榜作品"，可跳转到"我的作品"页面,中,验证引导流程
